sentiment,text,user,,,
neutral,#Gas und #Ã–l und andere #Energien aus #Russland nein danke Es geht auch anders!\n\n#FCKPTN \n#PutinWarCrimesâ€¦ https://t.co/eFLoMZoY9D,Bastian81165171,,,
neutral,RT @Gspirithorse: Gâ€™night my dears ðŸ˜˜\nâ€œMay the stars carry your sadness away. May flowers fill your heart with beauty.\nMay hope forever wipeâ€¦,JudieMacmahon,,,
positive,RT @Arts_42: The Joy of Expression \nBruce Neeley Â©ï¸2022\nâ¤ï¸â˜˜ï¸ðŸ¥â¤ï¸âœ¨â¤ï¸ðŸ¦¢â¤ï¸ðŸ¦¢â¤ï¸\n#ArtistsOnTwitter #Art\n#Drawing âœðŸ»#Digital ðŸ–¥\n#DigitalPainting ðŸŽ¨\nâ¤ï¸â€¦,TBGTNT,,,
neutral,#PrayForUkraine JÃ¡ sÃ£o 100 dias... ðŸ‡ºðŸ‡¦,WillSamoro,,,
neutral,"RT @TARTLEofficial: Amidst the conflict in Ukraine, it is TARTLE's vision that humanity uses the Marketplace to extend their help to innoceâ€¦",TARTLEofficial,,,
neutral,#VoteBlueToSaveDemocracy  #PrayForUkraine ðŸ‡ºðŸ‡¦ðŸ™ðŸ’™ðŸ’›\n#GunControlNow \n\nWordle 349 5/6\n\nðŸŸ¨â¬œâ¬œâ¬œâ¬œ\nâ¬œâ¬œâ¬œðŸŸ¨â¬œ\nðŸŸ¨ðŸŸ¨ðŸŸ©â¬œðŸŸ¨\nðŸŸ¨ðŸŸ©ðŸŸ©ðŸŸ¨ðŸŸ©\nðŸŸ©ðŸŸ©ðŸŸ©ðŸŸ©ðŸŸ©,dmckendree,,,
neutral,"der #art4peace Friedenskrieger kÃ¤mpft um das dahin schmelzende friedliche Miteinander #musa #PrayForUkraine June 4, 2022 at 01:12AM",Friedenskriege,,,
neutral,"@strategywoman Minneapolis, Minnesota. The USA\n#StandWithUkraine \n#PrayForUkraine\n#DefeatHitlerPutin",JadeSky13692487,,,
positive,RT @KarenCookPhotos: The #WarInUkraine has lasted 100 days &amp; still wages.  When will the brave people of @Ukraine see the sun? @UkraineLiveâ€¦,HHPhotography3,,,
neutral,#StandWithUkraine \n#PrayForUkraine\n#DefeatPutin\n#PutinWarCrimes https://t.co/jEUpTyVfZ7,JadeSky13692487,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",trambovka,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",Lviv_UA_SU,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",meneer_k,,,
negative,"RT @Capt_Navy: RFS 063 Admiral Kuznetsov of the ðŸ‡·ðŸ‡º#Russian #Navy in the dry dock in Murmansk on May 31,2022. Photo from O.Filonok https://tâ€¦",navalwarships,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",davidisaksen,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",OctavianGagu,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",AWACSALK,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",arifzam2019,,,
negative,"RT @Capt_Navy: RFS 063 Admiral Kuznetsov of the ðŸ‡·ðŸ‡º#Russian #Navy in the dry dock in Murmansk on May 31,2022. Photo from O.Filonok https://tâ€¦",FaathirHabibie,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",Chicagoeba,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",CASELS2020,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",BErickson_BIO,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",TheApilas,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",yuzukoseuG,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",AnonyLegion1112,,,
positive,"RT @CovertShores: ***UPDATE***\n\n#Russian Navy landing ships in formation off Crimea today, with beautiful clouds. \n\n#OSINT #Ukraine https:/â€¦",IdenixH,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",IdenixH,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",KathrynMClark2,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",needlesineyes,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",Klaius2,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",Sigma19001,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",DavePharrel,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",wachteldean54LV,,,
positive,"RT @ArmedMaidan: More victims of Putin's war\n\n\Hundreds of dead dolphins\"" washing up on Ukrainian shores b/c of powerful military sonars: râ€¦""",CANEMNNJ,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",flibbergussed,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",CyFi10,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",Wezsh0T,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",JustmeAnybody,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",rdiaconu51,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",RGInvest,,,
positive,"RT @uasupport999: A group of 5 large landing ships, assembled from 3 fleets of the #Russian Navy, have left for the Black Sea, according toâ€¦",HiroGallery,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",ignacio_abad,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",BaturrilloSUB,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",509Tiernan,,,
positive,"RT @uasupport999: A group of 5 large landing ships, assembled from 3 fleets of the #Russian Navy, have left for the Black Sea, according toâ€¦",Madelei51396098,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",Ve10Ve_Ghost,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",dario74x,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",georgevisan,,,
positive,"RT @uasupport999: A group of 5 large landing ships, assembled from 3 fleets of the #Russian Navy, have left for the Black Sea, according toâ€¦",KatarzynaKlass,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",BeKindReWine,,,
negative,"RT @Capt_Navy: RFS 063 Admiral Kuznetsov of the ðŸ‡·ðŸ‡º#Russian #Navy in the dry dock in Murmansk on May 31,2022. Photo from O.Filonok https://tâ€¦",f86d_,,,
neutral,RT @CavasShips: Work to refit the #Russian #Navy's only aircraft carrier ADMIRAL #KUZNETSOV 063 has picked up at Murmansk. Ship is (at lastâ€¦,f86d_,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",ukrainelivebot,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",KaptainLOMA,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",alex_dobrinin,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",vap_zondag,,,
positive,"RT @uasupport999: A group of 5 large landing ships, assembled from 3 fleets of the #Russian Navy, have left for the Black Sea, according toâ€¦",longterm_invest,,,
positive,"RT @uasupport999: A group of 5 large landing ships, assembled from 3 fleets of the #Russian Navy, have left for the Black Sea, according toâ€¦",WiktorDv,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",SVelascoJimenez,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",dZN34X9U7sxebLP,,,
positive,"RT @USAS_WW1: #maps - #Russian Navy's real flagship and only aircraft carrier is laid up in Murmansk, thousands of miles away from the Blacâ€¦",zeusanna,,,
positive,"A group of 5 large landing ships, assembled from 3 fleets of the #Russian Navy, have left for the Black Sea, accordâ€¦ https://t.co/ezj1fh7Cp3",uasupport999,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",trilatus,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",DebbieNester1,,,
positive,"RT @USAS_WW1: #maps - #Russian Navy's real flagship and only aircraft carrier is laid up in Murmansk, thousands of miles away from the Blacâ€¦",petekitching,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",rachel_maria65,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",MadisSarglepp,,,
neutral,@deecanadian @JudahBDavis @centerepublican @RivetsAndPins @MartinKoenigsb2 @107Kazuno @militaryhistoriâ€¦ https://t.co/AlX4h115eP,USAS_WW1,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",OSINT88,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",impofigu,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",_critic10_,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",cellcaller3,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",gigafestyu,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",Vivat_Ukraina,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",Capt70cc1,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",jimmy_jarkarta,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",mercoglianos,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",AnotherOneCR,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",cannoneerno4,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",GermanCucumber1,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",s_total_s2,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",breezyshade007,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",PernilleSue,,,
neutral,"RT @CovertShores: ***UPDATE***\n\n#OSINT: signs that #Russian Navy is clearing mines close to #Ukraine coast, west of Odesa. This is part ofâ€¦",BlueNCarolina,,,
neutral,"RT @IndiaNews_itv: à¤°à¥‚à¤¸-à¤¯à¥‚à¤•à¥à¤°à¥‡à¤¨ à¤¯à¥à¤¦à¥à¤§ à¤•à¥‹ à¤¹à¥à¤ 100 à¤¦à¤¿à¤¨, à¤…à¤¬ à¤†à¤—à¥‡ à¤•à¥à¤¯à¤¾ ? \n\n#RussianArmy #RussianUkrainianWar #UkraineWar #UkraineUnderAttaÑk #Vlaâ€¦",SIMRANJ34199407,,,
neutral,"In yesterday's clashes, the #UkrainianArmy recaptured two regions of #Severodonetsk from the #Russians. In anotherâ€¦ https://t.co/6uWnHFN7og",AbdullahManaz,,,
neutral,"aerial vehicles of the enemy, jamming cellular communication centers and Internet sources at the command posts of tâ€¦ https://t.co/n9ULyHv7ld",gahamalian,,,
positive,"RT @Suriyakmaps: During the last two days of combats, on northeastern front #RussianArmy &amp; #DPR forces advanced from two axis at the northeâ€¦",EDDYDON9,,,
negative,"On the line of contact in the #Zaporozhye region, an exchange of bodies of the dead between #Russia and #Ukraine waâ€¦ https://t.co/o0WPIZmiL7",gahamalian,,,
neutral,"He did not have time to finish, as the #Russian gunners fulfilled his desire.\n\n#UkraineRussiaWar #RussianArmy",gahamalian,,,
positive,"RT @Suriyakmaps: During the last two days of combats, on northeastern front #RussianArmy &amp; #DPR forces advanced from two axis at the northeâ€¦",HulshofMenno,,,
neutral,RT @leonelk855: ðŸ‡·ðŸ‡ºUkrainian Triton IMV with captured as a trophy. Now it is a part of a Z-machineðŸ˜ŽðŸ¤Ÿ#RussianArmy https://t.co/lyLXJdSkdx,45Questor,,,
positive,"RT @coope125: Kamyshevakha is liberated from #Ukrainian nationalist's, #Chechen special forces are already in the center of the city, movinâ€¦",onicha_benjami,,,
neutral,Let's help #Ukraine Ctrl-Z #RussianArmy! ðŸ˜\n\n#StandWithUkraine #ArmUkraineNow #UkraineWillWin https://t.co/NLJWVqaNhS,beefenders,,,
negative,"RT @realBertBlocken: Everywhere in Russia, small clay persons show up that protest against the war in @Ukraine \n\None of them has yet beenâ€¦""",gart_scheppers,,,
positive,"RT @Suriyakmaps: During the last two days of combats, on northeastern front #RussianArmy &amp; #DPR forces advanced from two axis at the northeâ€¦",SyriaWar2,,,
neutral,"RT @KyivPost: The #RussianArmy shelled the city of #Slovyansk in #Donetsk Oblast, killing three people and injuring another six. https://t.â€¦",Marie_Laveau_,,,
positive,"RT @mns120: Otra baja en los mandos Rusos ðŸ‡·ðŸ‡º, el carnicero de Syria, General Alexander Dvornikov comandante en jefe de la Operacion Especiaâ€¦",mns120,,,
neutral,#RussianArmy #cowardlyRussians #RussianWarCriminals #russiansoldiers #russiantorture #ukraine #Warzone #war https://t.co/LI2kKl1wJU,AquaRayban,,,
positive,"RT @TGTM_Official: Russia and China, they're not hiding anymore.\nSo called peaceful nations. Most of the world Military expenditure are becâ€¦",Adamspartner,,,
neutral,RT @RwsyaAjl: ØºÙ„Ø§Ù Ù…Ø¬Ù„Ø© Ø§Ù„Ø¥ÙŠÙƒÙˆÙ†ÙˆÙ…ÙŠØ³Øª Ø§Ù„Ø¨Ø±ÙŠØ·Ø§Ù†ÙŠØ© \nØ­Ù‚Ø¨Ø© Ø¬Ø¯ÙŠØ¯Ø©... ÙƒÙŠÙ Ø¬Ø¹Ù„Øª Ø§Ù„Ø­Ø±Ø¨ ÙÙŠ Ø£ÙˆÙƒØ±Ø§Ù†ÙŠØ§ Ø§Ù„ØµØ±Ø§Ø¹ Ø§Ù„Ù†ÙˆÙˆÙŠ Ø£ÙƒØ«Ø± Ø§Ø­ØªÙ…Ø§Ù„Ø§.\nØ±ÙˆØ³ÙŠØ§ ØªÙ†ØªØµØ± â¤ï¸ðŸ‡·ðŸ‡º\n#Ø±ÙˆØ³â€¦,abo_nazeeh,,,
neutral,RT @RwsyaAjl: Ø§Ù„ÙˆØ¶Ø¹ Ø§Ù„Ù…ÙŠØ¯Ø§Ù†ÙŠ ÙÙŠ Ø£ÙˆÙƒØ±Ø§Ù†ÙŠØ§ Ù„ÙŠÙˆÙ… 3 Ø­Ø²ÙŠØ±Ø§Ù† ØªØ¨Ø¹Ø§Ù‹ Ù„Ù…Ø§ Ù†Ø´Ø±ØªÙ‡ ÙˆØ²Ø§Ø±Ø© Ø§Ù„Ø¯ÙØ§Ø¹ Ø§Ù„ÙØ±Ù†Ø³ÙŠØ©\nØ±ÙˆØ³ÙŠØ§ ØªÙ†ØªØµØ± â¤ï¸ðŸ‡·ðŸ‡º\n#Ø±ÙˆØ³ÙŠØ§_ÙˆØ§ÙˆÙƒØ±Ø§Ù†ÙŠØ§  #Ø±ÙˆØ³ÙŠØ§ #Ø§ÙˆÙƒâ€¦,abo_nazeeh,,,
neutral,"RT @karolybahri: Putin is sad that from more than 10000 chechens sent to Ukraine, only 26 survived to make tiktok vÃ­deos. \n\nhttps://t.co/pMâ€¦",_dj_ambitious,,,
neutral,such comments cab lead to a war...are they deliberately doing this?? \n\n#Russian #RussianArmy #UkraineWar #Ukrania Nâ€¦ https://t.co/eBslnsaHuc,bstocks_org,,,
negative,Joe Biden is making the same mistake that American foreign policy did in Afghanistan against the Soviet Union 40 yeâ€¦ https://t.co/tMQo24hZ3k,BlackdiasporaV1,,,
negative,"NATO chief on Ukraine war\n\n\ We need to be prepared that this may actually drag on for a long time..\"" \n\n#Russianâ€¦ https://t.co/Y4lNeBHSgc""",bstocks_org,,,
positive,"RT @O_Ostapchuk: #RussiaUkrainianWar entered the life of 13-year-old Daryna on the last winter day, when #RussianArmy seized her village inâ€¦",LaLaFrance2,,,
positive,"RT @Suriyakmaps: During the last two days of combats, on northeastern front #RussianArmy &amp; #DPR forces advanced from two axis at the northeâ€¦",war_int,,,
neutral,"Z nÄ™dznego Å¼ycia hordy orkÃ³w:\nJeden zÂ rosyjskich Å¼oÅ‚nierzyÂ ukradÅ‚ mieszkaÅ„cowi #Mariupol-a konsolÄ™Â #PlayStation 4,â€¦ https://t.co/3Io4G43oY5",ArturHawliczek,,,
positive,"RT @Suriyakmaps: During the last two days of combats, on northeastern front #RussianArmy &amp; #DPR forces advanced from two axis at the northeâ€¦",arifzam2019,,,
positive,"RT @Suriyakmaps: During the last two days of combats, on northeastern front #RussianArmy &amp; #DPR forces advanced from two axis at the northeâ€¦",fassbear,,,
neutral,RT @Suriyakmaps: Situation of #Kherson offensive:\nDuring the last three days #RussianArmy managed to push back #UkrainianArmy towards the câ€¦,fassbear,,,
neutral,"RT @Suriyakmaps: In addition, on northeastern front, during the last 4 days #RussianArmy managed to recapture Ternova/Ð¢ÐµÑ€Ð½Ð¾Ð²Ð° town &amp; beganâ€¦",fassbear,,,
neutral,RT @leonelk855: ðŸ‡·ðŸ‡ºUkrainian Triton IMV with captured as a trophy. Now it is a part of a Z-machineðŸ˜ŽðŸ¤Ÿ#RussianArmy https://t.co/lyLXJdSkdx,teboho_eff,,,
negative,RT @leonelk855: ðŸ‡·ðŸ‡º Russian TOS-1A heavy flamethrower system burning out the fortified positions of the AFU near Avdiivka. #RussianArmy httpâ€¦,NZaxarova,,,
neutral,"#RussiaUkraineWar à¤•à¤µà¤° à¤•à¤° à¤°à¤¹à¥€ à¤¨à¥à¤¯à¥‚à¤œ à¤à¤œà¤‚à¤¸à¥€ #Reuters à¤•à¥€ à¤—à¤¾à¤¡à¤¼à¥€ à¤†à¤ˆ à¤†à¤— à¤•à¥€ à¤šà¤ªà¥‡à¤Ÿ à¤®à¥‡à¤‚\n \nà¤¹à¤¾à¤¦à¤¸à¥‡ à¤®à¥‡à¤‚ à¤¡à¥à¤°à¤¾à¤‡à¤µà¤° à¤•à¥€ à¤®à¥Œà¤¤, à¤¦à¥‹ à¤ªà¤¤à¥à¤°à¤•à¤¾à¤°â€¦ https://t.co/lBKj78DUBL",fmnews_india,,,
neutral,"@visegrad24 @EmmanuelMacron, how about #PutinsWar must stop and  #RussianArmy hand themselves in to @iccr_TheHagueâ€¦ https://t.co/cnsDR2tToG",BeenDunOver,,,
neutral,RT @leonelk855: ðŸ‡·ðŸ‡ºUkrainian Triton IMV with captured as a trophy. Now it is a part of a Z-machineðŸ˜ŽðŸ¤Ÿ#RussianArmy https://t.co/lyLXJdSkdx,NZaxarova,,,
positive,Just in from Israel Ministry of Foreign Affairs-Snake island 13 saved a transgender 2 year old from sexual assaultâ€¦ https://t.co/h7l7NvazUG,Dan_T87,,,
negative,"RT @Youblacksoul: Often, an ordinary guy, whom no one could ever imagine as the hero of a movie about the war, becomes a real hero, this guâ€¦",AnnaDarko4,,,
negative,#Turks &amp; Kurds of #Ataturk entering in #Greek Smyrna occupying &amp; destroying the cosmopolitan city on September 1922â€¦ https://t.co/StlXlfWpNh,JIMMYMAR2,,,
neutral,RT @TuMeraHyBs: #COAS\nPicture of the day ðŸ‘\nRetweet\n#bajwa #RETWEEET #ÙˆÛ_Ú©ÙˆÙ†_ØªÚ¾Ø§ #Ø§Ù…Ù¾ÙˆØ±Ù¹Úˆ_Ø­Ú©ÙˆÙ…Øª_Ù†Ø§Ù…Ù†Ø¸ÙˆØ± \n#Ø§Ù…Ù¾ÙˆØ±Ù¹Úˆ_Ù…ÛÙ†Ú¯Ø§Ø¦ÛŒ_Ø±ÛŒØ¬ÛŒÚ©Ù¹Úˆ \n#Ø§Ù…Ù¾ÙˆØ±Ù¹Úˆ_â€¦,Ismail75642977,,,
positive,"RT @Suriyakmaps: During the last two days of combats, on northeastern front #RussianArmy &amp; #DPR forces advanced from two axis at the northeâ€¦",lolodetyrosse,,,
neutral,RT @leonelk855: ðŸ‡·ðŸ‡ºUkrainian Triton IMV with captured as a trophy. Now it is a part of a Z-machineðŸ˜ŽðŸ¤Ÿ#RussianArmy https://t.co/lyLXJdSkdx,zarnica30V,,,
positive,RT @WARFOOTAGE2: Great Loss f a Russian Army noted here.\n\n#RussiaUkraineWar #Ukraine #ukrainewar #Russia #RussianArmy #war https://t.co/wJbâ€¦,Archlet1,,,
neutral,"@JoeBiden @EmmanuelMacron @OlafScholz can all kiss my ðŸ‘ Ð¡Ð»Ð°Ð²Ð° Ð£ÐºÑ€Ð°Ñ—Ð½Ñ–, Ð“ÐµÑ€Ð¾ÑÐ¼ Ð¡Ð»Ð°Ð²Ð°!\n\n#Ukraina #Russianâ€¦ https://t.co/2VoQBjr6Zm",MalaFide11,,,
positive,RT @Hina_Moradabadi: âš¡ Let see who is more popular contestant in  #KKK12.\n\n#MUFC\n#MunawarKiJanta\n#PratikFam\n#PratikSehajpal #TejasswiPrakasâ€¦,munawar0019,,,
neutral,#Ukraine: Ukrainian forces destroyed the Russian BMP-2 IFV in #Zaporizhzhia Oblast using a drone that dropped anti-â€¦ https://t.co/SqK6vhiAyL,UWTracker,,,
neutral,"@blackintheempir So, as a #Socialist and internationalist, I stand with the #RussianArmy , but also with the sufferâ€¦ https://t.co/e6suYoqGun",Crescia1949,,,
neutral,RT @TuMeraHyBs: #COAS\nPicture of the day ðŸ‘\nRetweet\n#bajwa #RETWEEET #ÙˆÛ_Ú©ÙˆÙ†_ØªÚ¾Ø§ #Ø§Ù…Ù¾ÙˆØ±Ù¹Úˆ_Ø­Ú©ÙˆÙ…Øª_Ù†Ø§Ù…Ù†Ø¸ÙˆØ± \n#Ø§Ù…Ù¾ÙˆØ±Ù¹Úˆ_Ù…ÛÙ†Ú¯Ø§Ø¦ÛŒ_Ø±ÛŒØ¬ÛŒÚ©Ù¹Úˆ \n#Ø§Ù…Ù¾ÙˆØ±Ù¹Úˆ_â€¦,NaeemaRanjha,,,
neutral,RT @gahamalian: Not just #Zatoka but another bridge in #Nikolaev region was visited today by our #Kalibrs.\n\n#RussianArmy https://t.co/vkGRnâ€¦,davidwjohns1111,,,
positive,RT @gahamalian: And this comes along with the fact that #Russian MOD is publishing the archive docs about the liberation of #Nikolaev durinâ€¦,davidwjohns1111,,,
neutral,Translation: @EmmanuelMacron is dog ðŸ’©.\n\n#Ukraineï¸ #Ukraina #RussianArmy #StandWithUkraine https://t.co/4aidrcqC86,MalaFide11,,,
